,date,opponent,result,location,w/l,conf,season,team
6,10/18/25,N Illinois,12:00 pm,Home,,,2025,Ohio
7,10/25/25,E Michigan,12:00 pm,Away,,,2025,Ohio
8,11/04/25,Miami OH,12:00 pm,Home,,,2025,Ohio
9,11/11/25,W Michigan,7:30 pm,Away,,,2025,Ohio
10,11/18/25,UMass,12:00 pm,Home,,,2025,Ohio
11,11/28/25,Buffalo,12:00 pm,Away,,,2025,Ohio
0,08/30/25,Texas,12:00 pm,Home,,,2025,Ohio State
1,09/06/25,Grambling St,3:30 pm,Home,,,2025,Ohio State
2,09/13/25,Ohio,7:00 pm,Home,,,2025,Ohio State
3,09/27/25,Washington,12:00 pm,Away,,,2025,Ohio State
4,10/04/25,Minnesota,12:00 pm,Home,,,2025,Ohio State
5,10/11/25,Illinois,12:00 pm,Away,,,2025,Ohio State
6,10/18/25,Wisconsin,12:00 pm,Away,,,2025,Ohio State
7,11/01/25,Penn St,12:00 pm,Home,,,2025,Ohio State
8,11/08/25,Purdue,12:00 pm,Away,,,2025,Ohio State
9,11/15/25,UCLA,12:00 pm,Home,,,2025,Ohio State
10,11/22/25,Rutgers,12:00 pm,Home,,,2025,Ohio State
11,11/29/25,Michigan,12:00 pm,Away,,,2025,Ohio State
0,08/30/25,Illinois State,6:00 pm,Home,,,2025,Oklahoma
1,09/06/25,Michigan,7:30 pm,Home,,,2025,Oklahoma
2,09/13/25,Temple,12:00 pm,Away,,,2025,Oklahoma
3,09/20/25,Auburn,12:00 pm,Home,,,2025,Oklahoma
4,10/04/25,Kent St,4:00 pm,Home,,,2025,Oklahoma
5,10/11/25,Texas,3:30 pm,Neutral,,,2025,Oklahoma
6,10/18/25,South Carolina,12:00 pm,Away,,,2025,Oklahoma
7,10/25/25,Mississippi,12:00 pm,Home,,,2025,Oklahoma
8,11/01/25,Tennessee,12:00 pm,Away,,,2025,Oklahoma
9,11/15/25,Alabama,12:00 pm,Away,,,2025,Oklahoma
10,11/22/25,Missouri,12:00 pm,Home,,,2025,Oklahoma
11,11/29/25,LSU,12:00 pm,Home,,,2025,Oklahoma
0,08/28/25,TN Martin,7:30 pm,Home,,,2025,Oklahoma State
1,09/06/25,Oregon,3:30 pm,Away,,,2025,Oklahoma State
2,09/19/25,Tulsa,7:00 pm,Home,,,2025,Oklahoma State
3,09/27/25,Baylor,12:00 pm,Home,,,2025,Oklahoma State
4,10/04/25,Arizona,12:00 pm,Away,,,2025,Oklahoma State
5,10/11/25,Houston,12:00 pm,Home,,,2025,Oklahoma State
6,10/18/25,Cincinnati,12:00 pm,Home,,,2025,Oklahoma State
7,10/25/25,Texas Tech,12:00 pm,Away,,,2025,Oklahoma State
8,11/01/25,Kansas,12:00 pm,Away,,,2025,Oklahoma State
9,11/15/25,Kansas St,12:00 pm,Home,,,2025,Oklahoma State
10,11/22/25,UCF,12:00 pm,Away,,,2025,Oklahoma State
11,11/29/25,Iowa St,12:00 pm,Home,,,2025,Oklahoma State
0,08/30/25,Indiana,2:30 pm,Away,,,2025,Old Dominion
1,09/06/25,North Carolina Central,6:00 pm,Home,,,2025,Old Dominion
2,09/13/25,Virginia Tech,7:00 pm,Away,,,2025,Old Dominion
3,09/27/25,Liberty,12:00 pm,Home,,,2025,Old Dominion
4,10/04/25,Coastal Car,12:00 pm,Home,,,2025,Old Dominion
5,10/11/25,Marshall,12:00 pm,Away,,,2025,Old Dominion
6,10/18/25,J Madison,12:00 pm,Away,,,2025,Old Dominion
7,10/25/25,App State,12:00 pm,Home,,,2025,Old Dominion
8,11/01/25,UL Monroe,12:00 pm,Away,,,2025,Old Dominion
9,11/13/25,Troy,7:30 pm,Home,,,2025,Old Dominion
10,11/22/25,Georgia So,12:00 pm,Away,,,2025,Old Dominion
11,11/29/25,Georgia St,12:00 pm,Home,,,2025,Old Dominion
0,08/30/25,Montana St,4:00 pm,Home,,,2025,Oregon
1,09/06/25,Oklahoma St,3:30 pm,Home,,,2025,Oregon
2,09/13/25,Northwestern,12:00 pm,Away,,,2025,Oregon
3,09/20/25,Oregon St,12:00 pm,Home,,,2025,Oregon
4,09/27/25,Penn St,7:30 pm,Away,,,2025,Oregon
5,10/11/25,Indiana,12:00 pm,Home,,,2025,Oregon
6,10/18/25,Rutgers,12:00 pm,Away,,,2025,Oregon
7,10/25/25,Wisconsin,12:00 pm,Home,,,2025,Oregon
8,11/08/25,Iowa,12:00 pm,Away,,,2025,Oregon
9,11/14/25,Minnesota,9:00 pm,Home,,,2025,Oregon
10,11/22/25,USC,12:00 pm,Home,,,2025,Oregon
11,11/29/25,Washington,12:00 pm,Away,,,2025,Oregon
0,08/30/25,California,10:30 pm,Home,,,2025,Oregon State
1,09/06/25,Fresno St,3:30 pm,Home,,,2025,Oregon State
2,09/13/25,Texas Tech,3:30 pm,Away,,,2025,Oregon State
3,09/20/25,Oregon,12:00 pm,Away,,,2025,Oregon State
4,09/26/25,Houston,10:30 pm,Home,,,2025,Oregon State
5,10/04/25,App State,12:00 pm,Away,,,2025,Oregon State
6,10/11/25,Wake Forest,3:30 pm,Home,,,2025,Oregon State
7,10/18/25,Lafayette,10:00 pm,Home,,,2025,Oregon State
8,11/01/25,Washington St,7:30 pm,Home,,,2025,Oregon State
9,11/08/25,Sam Houston,10:00 pm,Home,,,2025,Oregon State
10,11/15/25,Tulsa,10:00 pm,Away,,,2025,Oregon State
11,11/29/25,Washington St,6:30 pm,Away,,,2025,Oregon State
0,08/30/25,Nevada,3:30 pm,Home,,,2025,Penn State
1,09/06/25,Florida Intl,12:00 pm,Home,,,2025,Penn State
2,09/13/25,Villanova,3:30 pm,Home,,,2025,Penn State
3,09/27/25,Oregon,7:30 pm,Home,,,2025,Penn State
4,10/04/25,UCLA,12:00 pm,Away,,,2025,Penn State
5,10/11/25,Northwestern,12:00 pm,Home,,,2025,Penn State
6,10/18/25,Iowa,12:00 pm,Away,,,2025,Penn State
7,11/01/25,Ohio St,12:00 pm,Away,,,2025,Penn State
8,11/08/25,Indiana,12:00 pm,Home,,,2025,Penn State
9,11/15/25,Michigan St,12:00 pm,Away,,,2025,Penn State
10,11/22/25,Nebraska,12:00 pm,Home,,,2025,Penn State
11,11/29/25,Rutgers,12:00 pm,Away,,,2025,Penn State
0,08/30/25,Duquesne,12:00 pm,Home,,,2025,Pittsburgh
1,09/06/25,C Michigan,12:00 pm,Home,,,2025,Pittsburgh
2,09/13/25,West Virginia,3:30 pm,Away,,,2025,Pittsburgh
3,09/27/25,Louisville,12:00 pm,Home,,,2025,Pittsburgh
4,10/04/25,Boston College,12:00 pm,Home,,,2025,Pittsburgh
5,10/11/25,Florida St,12:00 pm,Away,,,2025,Pittsburgh
6,10/18/25,Syracuse,12:00 pm,Away,,,2025,Pittsburgh
7,10/25/25,NC State,12:00 pm,Home,,,2025,Pittsburgh
8,11/01/25,Stanford,12:00 pm,Away,,,2025,Pittsburgh
9,11/15/25,Notre Dame,12:00 pm,Home,,,2025,Pittsburgh
10,11/22/25,Georgia Tech,12:00 pm,Away,,,2025,Pittsburgh
11,11/29/25,Miami,12:00 pm,Home,,,2025,Pittsburgh
0,08/30/25,Ball St,12:00 pm,Home,,,2025,Purdue
1,09/06/25,S Illinois,7:30 pm,Home,,,2025,Purdue
2,09/13/25,USC,3:30 pm,Home,,,2025,Purdue
3,09/20/25,Notre Dame,3:30 pm,Away,,,2025,Purdue
4,10/04/25,Illinois,12:00 pm,Home,,,2025,Purdue
5,10/11/25,Minnesota,12:00 pm,Away,,,2025,Purdue
6,10/18/25,Northwestern,12:00 pm,Away,,,2025,Purdue
7,10/25/25,Rutgers,12:00 pm,Home,,,2025,Purdue
8,11/01/25,Michigan,12:00 pm,Away,,,2025,Purdue
9,11/08/25,Ohio St,12:00 pm,Home,,,2025,Purdue
10,11/15/25,Washington,12:00 pm,Away,,,2025,Purdue
11,11/28/25,Indiana,7:30 pm,Home,,,2025,Purdue
0,08/30/25,Louisiana,8:00 pm,Away,,,2025,Rice
1,09/06/25,Houston,7:00 pm,Home,,,2025,Rice
2,09/13/25,Prairie View A&M,7:00 pm,Home,,,2025,Rice
3,09/18/25,Charlotte,7:30 pm,Away,,,2025,Rice
4,09/27/25,Navy,3:30 pm,Away,,,2025,Rice
5,10/04/25,Florida Atlantic,12:00 pm,Home,,,2025,Rice
6,10/11/25,UTSA,12:00 pm,Away,,,2025,Rice
7,10/25/25,UConn,12:00 pm,Home,,,2025,Rice
8,10/31/25,Memphis,7:00 pm,Home,,,2025,Rice
9,11/08/25,UAB,12:00 pm,Home,,,2025,Rice
10,11/22/25,N Texas,12:00 pm,Home,,,2025,Rice
11,11/29/25,S Florida,12:00 pm,Away,,,2025,Rice
0,08/28/25,Ohio,6:00 pm,Home,,,2025,Rutgers
1,09/06/25,Miami OH,3:30 pm,Home,,,2025,Rutgers
2,09/13/25,Norfolk St,3:30 pm,Home,,,2025,Rutgers
3,09/19/25,Iowa,8:00 pm,Home,,,2025,Rutgers
4,09/27/25,Minnesota,12:00 pm,Away,,,2025,Rutgers
5,10/10/25,Washington,9:00 pm,Away,,,2025,Rutgers
6,10/18/25,Oregon,12:00 pm,Home,,,2025,Rutgers
7,10/25/25,Purdue,12:00 pm,Away,,,2025,Rutgers
8,11/01/25,Illinois,12:00 pm,Away,,,2025,Rutgers
9,11/08/25,Maryland,12:00 pm,Home,,,2025,Rutgers
10,11/22/25,Ohio St,12:00 pm,Away,,,2025,Rutgers
11,11/29/25,Penn St,12:00 pm,Home,,,2025,Rutgers
0,08/30/25,Morgan St,7:00 pm,Home,,,2025,South Alabama
1,09/06/25,Tulane,7:00 pm,Home,,,2025,South Alabama
2,09/13/25,Auburn,12:45 pm,Away,,,2025,South Alabama
3,09/20/25,Coastal Car,12:00 pm,Home,,,2025,South Alabama
4,09/27/25,N Texas,12:00 pm,Away,,,2025,South Alabama
5,10/04/25,Troy,12:00 pm,Away,,,2025,South Alabama
6,10/14/25,Arkansas St,7:30 pm,Home,,,2025,South Alabama
7,10/23/25,Georgia St,7:30 pm,Away,,,2025,South Alabama
8,11/01/25,Louisiana,12:00 pm,Home,,,2025,South Alabama
9,11/15/25,UL Monroe,12:00 pm,Away,,,2025,South Alabama
10,11/22/25,Southern Miss,12:00 pm,Home,,,2025,South Alabama
11,11/29/25,Texas St,12:00 pm,Away,,,2025,South Alabama
0,08/28/25,Boise St,5:30 pm,Home,,,2025,South Florida
1,09/06/25,Florida,4:15 pm,Away,,,2025,South Florida
2,09/13/25,Miami,4:30 pm,Away,,,2025,South Florida
3,09/20/25,S Car State,12:00 pm,Home,,,2025,South Florida
4,10/03/25,Charlotte,7:00 pm,Home,,,2025,South Florida
5,10/10/25,N Texas,7:30 pm,Away,,,2025,South Florida
6,10/18/25,Florida Atlantic,12:00 pm,Home,,,2025,South Florida
7,10/25/25,Memphis,12:00 pm,Away,,,2025,South Florida
8,11/06/25,UTSA,12:00 pm,Home,,,2025,South Florida
9,11/15/25,Navy,12:00 pm,Away,,,2025,South Florida
10,11/22/25,UAB,12:00 pm,Away,,,2025,South Florida
11,11/29/25,Rice,12:00 pm,Home,,,2025,South Florida
0,08/23/25,W Kentucky,7:00 pm,Away,,,2025,Sam Houston
1,08/29/25,UNLV,9:30 pm,Home,,,2025,Sam Houston
2,09/06/25,Hawai'i,12:00 pm,Away,,,2025,Sam Houston
3,09/20/25,Texas,8:00 pm,Away,,,2025,Sam Houston
4,10/02/25,New Mexico St,9:00 pm,Away,,,2025,Sam Houston
5,10/09/25,Jacksonville St,8:00 pm,Home,,,2025,Sam Houston
6,10/15/25,UTEP,7:00 pm,Home,,,2025,Sam Houston
7,10/31/25,Louisiana Tech,8:00 pm,Away,,,2025,Sam Houston
8,11/08/25,Oregon St,10:00 pm,Away,,,2025,Sam Houston
9,11/15/25,Delaware,1:00 pm,Home,,,2025,Sam Houston
10,11/22/25,Middle Tenn,12:00 pm,Away,,,2025,Sam Houston
11,11/29/25,Florida Intl,12:00 pm,Home,,,2025,Sam Houston
0,08/28/25,Stony Brook,12:00 pm,Home,,,2025,San Diego State
1,09/06/25,Washington St,10:15 pm,Away,,,2025,San Diego State
2,09/20/25,California,10:30 pm,Home,,,2025,San Diego State
3,09/27/25,N Illinois,12:00 pm,Away,,,2025,San Diego State
4,10/03/25,Colorado St,10:30 pm,Home,,,2025,San Diego State
5,10/11/25,Nevada,10:30 pm,Away,,,2025,San Diego State
6,10/25/25,Fresno St,12:00 pm,Away,,,2025,San Diego State
7,11/01/25,Wyoming,7:00 pm,Home,,,2025,San Diego State
8,11/08/25,Hawai'i,12:00 pm,Away,,,2025,San Diego State
9,11/15/25,Boise St,10:30 pm,Home,,,2025,San Diego State
10,11/22/25,San Jose St,12:00 pm,Home,,,2025,San Diego State
11,11/28/25,New Mexico,3:30 pm,Away,,,2025,San Diego State
0,08/29/25,C Michigan,10:30 pm,Home,,,2025,San Jose State
1,09/06/25,Texas,12:00 pm,Away,,,2025,San Jose State
2,09/20/25,Idaho,5:00 pm,Home,,,2025,San Jose State
3,09/27/25,Stanford,12:00 pm,Away,,,2025,San Jose State
4,10/03/25,New Mexico,10:00 pm,Home,,,2025,San Jose State
5,10/11/25,Wyoming,7:00 pm,Away,,,2025,San Jose State
6,10/17/25,Utah St,9:00 pm,Away,,,2025,San Jose State
7,11/01/25,Hawai'i,10:30 pm,Home,,,2025,San Jose State
8,11/08/25,Air Force,12:00 pm,Home,,,2025,San Jose State
9,11/15/25,Nevada,3:30 pm,Away,,,2025,San Jose State
10,11/22/25,San Diego St,12:00 pm,Away,,,2025,San Jose State
11,11/29/25,Fresno St,12:00 pm,Home,,,2025,San Jose State
0,08/30/25,Texas A&M-Commerce,9:00 pm,Home,,,2025,SMU
1,09/06/25,Baylor,12:00 pm,Home,,,2025,SMU
2,09/13/25,Missouri St,3:30 pm,Away,,,2025,SMU
3,09/20/25,TCU,12:00 pm,Away,,,2025,SMU
4,10/04/25,Syracuse,12:00 pm,Home,,,2025,SMU
5,10/11/25,Stanford,12:00 pm,Home,,,2025,SMU
6,10/18/25,Clemson,12:00 pm,Away,,,2025,SMU
7,10/25/25,Wake Forest,12:00 pm,Away,,,2025,SMU
8,11/01/25,Miami,12:00 pm,Home,,,2025,SMU
9,11/08/25,Boston College,12:00 pm,Away,,,2025,SMU
10,11/22/25,Louisville,12:00 pm,Home,,,2025,SMU
11,11/29/25,California,12:00 pm,Away,,,2025,SMU
0,08/31/25,Virginia Tech,3:00 pm,Neutral,,,2025,South Carolina
1,09/06/25,S Car State,7:00 pm,Home,,,2025,South Carolina
2,09/13/25,Vanderbilt,12:00 pm,Home,,,2025,South Carolina
3,09/20/25,Missouri,12:00 pm,Away,,,2025,South Carolina
4,09/27/25,Kentucky,12:00 pm,Home,,,2025,South Carolina
5,10/11/25,LSU,12:00 pm,Away,,,2025,South Carolina
6,10/18/25,Oklahoma,12:00 pm,Home,,,2025,South Carolina
7,10/25/25,Alabama,12:00 pm,Home,,,2025,South Carolina
8,11/01/25,Mississippi,12:00 pm,Away,,,2025,South Carolina
9,11/15/25,Texas A&M,12:00 pm,Away,,,2025,South Carolina
10,11/22/25,Coastal Car,12:00 pm,Home,,,2025,South Carolina
11,11/29/25,Clemson,12:00 pm,Home,,,2025,South Carolina
0,08/30/25,Mississippi St,12:00 pm,Home,,,2025,Southern Miss
1,09/06/25,Jackson State,5:00 pm,Home,,,2025,Southern Miss
2,09/13/25,App State,7:00 pm,Home,,,2025,Southern Miss
3,09/20/25,Louisiana Tech,12:00 pm,Away,,,2025,Southern Miss
4,09/27/25,Jacksonville St,12:00 pm,Home,,,2025,Southern Miss
5,10/09/25,Georgia So,12:00 pm,Away,,,2025,Southern Miss
6,10/18/25,Louisiana,12:00 pm,Away,,,2025,Southern Miss
7,10/25/25,UL Monroe,12:00 pm,Home,,,2025,Southern Miss
8,11/08/25,Arkansas St,12:00 pm,Away,,,2025,Southern Miss
9,11/15/25,Texas St,12:00 pm,Home,,,2025,Southern Miss
10,11/22/25,S Alabama,12:00 pm,Away,,,2025,Southern Miss
11,11/29/25,Troy,12:00 pm,Home,,,2025,Southern Miss
0,08/23/25,Hawai'i,7:30 pm,Away,,,2025,Stanford
1,09/06/25,BYU,10:15 pm,Away,,,2025,Stanford
2,09/13/25,Boston College,10:30 pm,Home,,,2025,Stanford
3,09/20/25,Virginia,12:00 pm,Away,,,2025,Stanford
4,09/27/25,San Jose St,12:00 pm,Home,,,2025,Stanford
5,10/11/25,SMU,12:00 pm,Away,,,2025,Stanford
6,10/18/25,Florida St,10:30 pm,Home,,,2025,Stanford
7,10/25/25,Miami,12:00 pm,Away,,,2025,Stanford
8,11/01/25,Pittsburgh,12:00 pm,Home,,,2025,Stanford
9,11/08/25,North Carolina,12:00 pm,Away,,,2025,Stanford
10,11/22/25,California,12:00 pm,Home,,,2025,Stanford
11,11/29/25,Notre Dame,12:00 pm,Home,,,2025,Stanford
0,08/30/25,Tennessee,12:00 pm,Neutral,,,2025,Syracuse
1,09/06/25,UConn,12:00 pm,Home,,,2025,Syracuse
2,09/12/25,Colgate,7:00 pm,Home,,,2025,Syracuse
3,09/20/25,Clemson,12:00 pm,Away,,,2025,Syracuse
4,09/27/25,Duke,12:00 pm,Home,,,2025,Syracuse
5,10/04/25,SMU,12:00 pm,Away,,,2025,Syracuse
6,10/18/25,Pittsburgh,12:00 pm,Home,,,2025,Syracuse
7,10/25/25,Georgia Tech,12:00 pm,Away,,,2025,Syracuse
8,10/31/25,North Carolina,7:30 pm,Home,,,2025,Syracuse
9,11/08/25,Miami,12:00 pm,Away,,,2025,Syracuse
10,11/22/25,Notre Dame,3:30 pm,Away,,,2025,Syracuse
11,11/29/25,Boston College,12:00 pm,Home,,,2025,Syracuse
0,09/01/25,North Carolina,8:00 pm,Away,,,2025,TCU
1,09/13/25,Abl Christian,8:00 pm,Home,,,2025,TCU
2,09/20/25,SMU,12:00 pm,Home,,,2025,TCU
3,09/26/25,Arizona St,9:00 pm,Away,,,2025,TCU
4,10/04/25,Colorado,12:00 pm,Home,,,2025,TCU
5,10/11/25,Kansas St,12:00 pm,Away,,,2025,TCU
6,10/18/25,Baylor,12:00 pm,Home,,,2025,TCU
7,10/25/25,West Virginia,12:00 pm,Away,,,2025,TCU
8,11/08/25,Iowa St,12:00 pm,Home,,,2025,TCU
9,11/15/25,BYU,12:00 pm,Away,,,2025,TCU
10,11/22/25,Houston,12:00 pm,Away,,,2025,TCU
11,11/29/25,Cincinnati,12:00 pm,Home,,,2025,TCU
0,08/30/25,UMass,3:30 pm,Away,,,2025,Temple
1,09/06/25,Howard,2:00 pm,Home,,,2025,Temple
2,09/13/25,Oklahoma,12:00 pm,Home,,,2025,Temple
3,09/20/25,Georgia Tech,12:00 pm,Away,,,2025,Temple
4,10/04/25,UTSA,12:00 pm,Home,,,2025,Temple
5,10/11/25,Navy,12:00 pm,Home,,,2025,Temple
6,10/18/25,Charlotte,12:00 pm,Away,,,2025,Temple
7,10/25/25,Tulsa,12:00 pm,Away,,,2025,Temple
8,11/01/25,E Carolina,12:00 pm,Home,,,2025,Temple
9,11/08/25,Army,12:00 pm,Away,,,2025,Temple
10,11/22/25,Tulane,12:00 pm,Home,,,2025,Temple
11,11/29/25,N Texas,12:00 pm,Away,,,2025,Temple
0,08/30/25,Syracuse,12:00 pm,Neutral,,,2025,Tennessee
1,09/06/25,East Tennessee State,3:30 pm,Home,,,2025,Tennessee
2,09/13/25,Georgia,3:30 pm,Home,,,2025,Tennessee
3,09/20/25,UAB,12:45 pm,Home,,,2025,Tennessee
4,09/27/25,Mississippi St,12:00 pm,Away,,,2025,Tennessee
5,10/11/25,Arkansas,12:00 pm,Home,,,2025,Tennessee
6,10/18/25,Alabama,12:00 pm,Away,,,2025,Tennessee
7,10/25/25,Kentucky,12:00 pm,Away,,,2025,Tennessee
8,11/01/25,Oklahoma,12:00 pm,Home,,,2025,Tennessee
9,11/15/25,New Mexico St,4:15 pm,Home,,,2025,Tennessee
10,11/22/25,Florida,12:00 pm,Away,,,2025,Tennessee
11,11/29/25,Vanderbilt,12:00 pm,Home,,,2025,Tennessee
0,08/30/25,Ohio St,12:00 pm,Away,,,2025,Texas
1,09/06/25,San Jose St,12:00 pm,Home,,,2025,Texas
2,09/13/25,UTEP,4:15 pm,Home,,,2025,Texas
3,09/20/25,Sam Houston,8:00 pm,Home,,,2025,Texas
4,10/04/25,Florida,12:00 pm,Away,,,2025,Texas
5,10/11/25,Oklahoma,3:30 pm,Neutral,,,2025,Texas
6,10/18/25,Kentucky,12:00 pm,Away,,,2025,Texas
7,10/25/25,Mississippi St,12:00 pm,Away,,,2025,Texas
8,11/01/25,Vanderbilt,12:00 pm,Home,,,2025,Texas
9,11/15/25,Georgia,12:00 pm,Away,,,2025,Texas
10,11/22/25,Arkansas,12:00 pm,Home,,,2025,Texas
11,11/28/25,Texas A&M,7:30 pm,Home,,,2025,Texas
0,08/30/25,UTSA,7:00 pm,Home,,,2025,Texas A&M
1,09/06/25,Utah St,12:45 pm,Home,,,2025,Texas A&M
2,09/13/25,Notre Dame,7:30 pm,Away,,,2025,Texas A&M
3,09/27/25,Auburn,12:00 pm,Home,,,2025,Texas A&M
4,10/04/25,Mississippi St,12:00 pm,Home,,,2025,Texas A&M
5,10/11/25,Florida,12:00 pm,Home,,,2025,Texas A&M
6,10/18/25,Arkansas,12:00 pm,Away,,,2025,Texas A&M
7,10/25/25,LSU,12:00 pm,Away,,,2025,Texas A&M
8,11/08/25,Missouri,12:00 pm,Away,,,2025,Texas A&M
9,11/15/25,South Carolina,12:00 pm,Home,,,2025,Texas A&M
10,11/22/25,Samford,12:00 pm,Home,,,2025,Texas A&M
11,11/28/25,Texas,7:30 pm,Away,,,2025,Texas A&M
0,08/30/25,E Michigan,8:00 pm,Home,,,2025,Texas State
1,09/06/25,UTSA,3:30 pm,Away,,,2025,Texas State
2,09/13/25,Arizona St,10:30 pm,Away,,,2025,Texas State
3,09/20/25,Nicholls St,8:00 pm,Home,,,2025,Texas State
4,10/04/25,Arkansas St,7:00 pm,Away,,,2025,Texas State
5,10/11/25,Troy,12:00 pm,Home,,,2025,Texas State
6,10/18/25,Marshall,12:00 pm,Away,,,2025,Texas State
7,10/28/25,J Madison,7:30 pm,Home,,,2025,Texas State
8,11/08/25,Louisiana,12:00 pm,Away,,,2025,Texas State
9,11/15/25,Southern Miss,12:00 pm,Away,,,2025,Texas State
10,11/22/25,UL Monroe,12:00 pm,Home,,,2025,Texas State
11,11/29/25,S Alabama,12:00 pm,Home,,,2025,Texas State
