,date,opponent,result,location,w/l,conf,season,team
0,08/30/25,Arkansas-Pine Bluff,7:30 pm,Home,,,2025,Texas Tech
1,09/06/25,Kent St,12:00 pm,Home,,,2025,Texas Tech
2,09/13/25,Oregon St,3:30 pm,Home,,,2025,Texas Tech
3,09/20/25,Utah,12:00 pm,Away,,,2025,Texas Tech
4,10/04/25,Houston,12:00 pm,Away,,,2025,Texas Tech
5,10/11/25,Kansas,12:00 pm,Home,,,2025,Texas Tech
6,10/18/25,Arizona St,12:00 pm,Away,,,2025,Texas Tech
7,10/25/25,Oklahoma St,12:00 pm,Home,,,2025,Texas Tech
8,11/01/25,Kansas St,12:00 pm,Away,,,2025,Texas Tech
9,11/08/25,BYU,12:00 pm,Home,,,2025,Texas Tech
10,11/15/25,UCF,12:00 pm,Home,,,2025,Texas Tech
11,11/29/25,West Virginia,12:00 pm,Away,,,2025,Texas Tech
0,08/30/25,Kentucky,12:45 pm,Away,,,2025,Toledo
1,09/06/25,W Kentucky,7:00 pm,Home,,,2025,Toledo
2,09/13/25,Morgan St,3:30 pm,Home,,,2025,Toledo
3,09/20/25,W Michigan,12:00 pm,Away,,,2025,Toledo
4,09/27/25,Akron,12:00 pm,Home,,,2025,Toledo
5,10/11/25,Bowling Green,12:00 pm,Away,,,2025,Toledo
6,10/18/25,Kent St,12:00 pm,Home,,,2025,Toledo
7,10/25/25,Washington St,3:30 pm,Away,,,2025,Toledo
8,11/05/25,N Illinois,12:00 pm,Home,,,2025,Toledo
9,11/12/25,Miami OH,12:00 pm,Away,,,2025,Toledo
10,11/22/25,Ball St,12:00 pm,Home,,,2025,Toledo
11,11/29/25,C Michigan,12:00 pm,Away,,,2025,Toledo
0,08/30/25,Nicholls St,7:00 pm,Home,,,2025,Troy
1,09/06/25,Clemson,3:30 pm,Away,,,2025,Troy
2,09/13/25,Memphis,12:00 pm,Home,,,2025,Troy
3,09/20/25,Buffalo,12:00 pm,Away,,,2025,Troy
4,10/04/25,S Alabama,12:00 pm,Home,,,2025,Troy
5,10/11/25,Texas St,12:00 pm,Away,,,2025,Troy
6,10/18/25,UL Monroe,12:00 pm,Away,,,2025,Troy
7,10/25/25,Louisiana,12:00 pm,Home,,,2025,Troy
8,11/01/25,Arkansas St,12:00 pm,Home,,,2025,Troy
9,11/13/25,Old Dominion,7:30 pm,Away,,,2025,Troy
10,11/22/25,Georgia St,12:00 pm,Home,,,2025,Troy
11,11/29/25,Southern Miss,12:00 pm,Away,,,2025,Troy
0,08/30/25,Northwestern,12:00 pm,Home,,,2025,Tulane
1,09/06/25,S Alabama,7:00 pm,Away,,,2025,Tulane
2,09/13/25,Duke,8:00 pm,Home,,,2025,Tulane
3,09/20/25,Mississippi,12:00 pm,Away,,,2025,Tulane
4,09/27/25,Tulsa,12:00 pm,Away,,,2025,Tulane
5,10/09/25,E Carolina,12:00 pm,Home,,,2025,Tulane
6,10/18/25,Army,12:00 pm,Home,,,2025,Tulane
7,10/30/25,UTSA,7:30 pm,Away,,,2025,Tulane
8,11/07/25,Memphis,9:00 pm,Away,,,2025,Tulane
9,11/15/25,Florida Atlantic,12:00 pm,Home,,,2025,Tulane
10,11/22/25,Temple,12:00 pm,Away,,,2025,Tulane
11,11/29/25,Charlotte,12:00 pm,Home,,,2025,Tulane
0,08/30/25,Abl Christian,8:00 pm,Home,,,2025,Tulsa
1,09/06/25,New Mexico St,9:00 pm,Away,,,2025,Tulsa
2,09/13/25,Navy,8:00 pm,Home,,,2025,Tulsa
3,09/19/25,Oklahoma St,7:00 pm,Away,,,2025,Tulsa
4,09/27/25,Tulane,12:00 pm,Home,,,2025,Tulsa
5,10/04/25,Memphis,12:00 pm,Away,,,2025,Tulsa
6,10/16/25,E Carolina,7:30 pm,Away,,,2025,Tulsa
7,10/25/25,Temple,12:00 pm,Home,,,2025,Tulsa
8,11/08/25,Florida Atlantic,12:00 pm,Away,,,2025,Tulsa
9,11/15/25,Oregon St,10:00 pm,Home,,,2025,Tulsa
10,11/22/25,Army,12:00 pm,Away,,,2025,Tulsa
11,11/29/25,UAB,12:00 pm,Home,,,2025,Tulsa
0,08/28/25,Alabama St,8:30 pm,Home,,,2025,UAB
1,09/06/25,Navy,3:30 pm,Away,,,2025,UAB
2,09/13/25,Akron,8:30 pm,Home,,,2025,UAB
3,09/20/25,Tennessee,12:45 pm,Away,,,2025,UAB
4,10/04/25,Army,12:00 pm,Home,,,2025,UAB
5,10/11/25,Florida Atlantic,12:00 pm,Away,,,2025,UAB
6,10/18/25,Memphis,12:00 pm,Home,,,2025,UAB
7,11/01/25,UConn,12:00 pm,Away,,,2025,UAB
8,11/08/25,Rice,12:00 pm,Away,,,2025,UAB
9,11/15/25,N Texas,12:00 pm,Home,,,2025,UAB
10,11/22/25,S Florida,12:00 pm,Home,,,2025,UAB
11,11/29/25,Tulsa,12:00 pm,Away,,,2025,UAB
0,08/28/25,Jacksonville St,7:00 pm,Home,,,2025,UCF
1,09/06/25,North Carolina A&T,7:00 pm,Home,,,2025,UCF
2,09/20/25,North Carolina,12:00 pm,Home,,,2025,UCF
3,09/27/25,Kansas St,12:00 pm,Away,,,2025,UCF
4,10/04/25,Kansas,12:00 pm,Home,,,2025,UCF
5,10/11/25,Cincinnati,12:00 pm,Away,,,2025,UCF
6,10/18/25,West Virginia,12:00 pm,Home,,,2025,UCF
7,11/01/25,Baylor,12:00 pm,Away,,,2025,UCF
8,11/07/25,Houston,12:00 pm,Home,,,2025,UCF
9,11/15/25,Texas Tech,12:00 pm,Away,,,2025,UCF
10,11/22/25,Oklahoma St,12:00 pm,Home,,,2025,UCF
11,11/29/25,BYU,12:00 pm,Away,,,2025,UCF
0,08/30/25,Utah,11:00 pm,Home,,,2025,UCLA
1,09/06/25,UNLV,8:00 pm,Away,,,2025,UCLA
2,09/12/25,New Mexico,12:00 pm,Home,,,2025,UCLA
3,09/27/25,Northwestern,12:00 pm,Away,,,2025,UCLA
4,10/04/25,Penn St,12:00 pm,Home,,,2025,UCLA
5,10/11/25,Michigan St,12:00 pm,Away,,,2025,UCLA
6,10/18/25,Maryland,12:00 pm,Home,,,2025,UCLA
7,10/25/25,Indiana,12:00 pm,Away,,,2025,UCLA
8,11/08/25,Nebraska,12:00 pm,Home,,,2025,UCLA
9,11/15/25,Ohio St,12:00 pm,Away,,,2025,UCLA
10,11/22/25,Washington,12:00 pm,Home,,,2025,UCLA
11,11/29/25,USC,12:00 pm,Away,,,2025,UCLA
0,08/30/25,Central Connecticut State,2:00 pm,Home,,,2025,Connecticut
1,09/06/25,Syracuse,12:00 pm,Away,,,2025,Connecticut
2,09/13/25,Delaware,3:00 pm,Away,,,2025,Connecticut
3,09/20/25,Ball St,3:30 pm,Home,,,2025,Connecticut
4,09/27/25,Buffalo,12:00 pm,Away,,,2025,Connecticut
5,10/04/25,Florida Intl,3:30 pm,Home,,,2025,Connecticut
6,10/18/25,Boston College,12:00 pm,Away,,,2025,Connecticut
7,10/25/25,Rice,12:00 pm,Away,,,2025,Connecticut
8,11/01/25,UAB,12:00 pm,Home,,,2025,Connecticut
9,11/08/25,Duke,3:30 pm,Home,,,2025,Connecticut
10,11/15/25,Air Force,12:00 pm,Home,,,2025,Connecticut
11,11/22/25,Florida Atlantic,12:00 pm,Away,,,2025,Connecticut
0,08/28/25,St. Francis,7:00 pm,Home,,,2025,Louisiana-Monroe
1,09/06/25,Alabama,7:45 pm,Away,,,2025,Louisiana-Monroe
2,09/20/25,UTEP,12:00 pm,Away,,,2025,Louisiana-Monroe
3,09/27/25,Arkansas St,12:00 pm,Home,,,2025,Louisiana-Monroe
4,10/04/25,Northwestern,12:00 pm,Away,,,2025,Louisiana-Monroe
5,10/11/25,Coastal Car,12:00 pm,Away,,,2025,Louisiana-Monroe
6,10/18/25,Troy,12:00 pm,Home,,,2025,Louisiana-Monroe
7,10/25/25,Southern Miss,12:00 pm,Away,,,2025,Louisiana-Monroe
8,11/01/25,Old Dominion,12:00 pm,Home,,,2025,Louisiana-Monroe
9,11/15/25,S Alabama,12:00 pm,Home,,,2025,Louisiana-Monroe
10,11/22/25,Texas St,12:00 pm,Away,,,2025,Louisiana-Monroe
11,11/29/25,Louisiana,12:00 pm,Away,,,2025,Louisiana-Monroe
0,08/30/25,Temple,3:30 pm,Home,,,2025,Massachusetts
1,09/06/25,Bryant,3:30 pm,Home,,,2025,Massachusetts
2,09/13/25,Iowa,7:30 pm,Away,,,2025,Massachusetts
3,09/27/25,Missouri,12:00 pm,Away,,,2025,Massachusetts
4,10/04/25,W Michigan,12:00 pm,Home,,,2025,Massachusetts
5,10/11/25,Kent St,12:00 pm,Away,,,2025,Massachusetts
6,10/18/25,Buffalo,12:00 pm,Home,,,2025,Massachusetts
7,10/25/25,C Michigan,12:00 pm,Away,,,2025,Massachusetts
8,11/04/25,Akron,12:00 pm,Away,,,2025,Massachusetts
9,11/12/25,N Illinois,12:00 pm,Home,,,2025,Massachusetts
10,11/18/25,Ohio,12:00 pm,Away,,,2025,Massachusetts
11,11/25/25,Bowling Green,12:00 pm,Home,,,2025,Massachusetts
0,08/23/25,Idaho State,4:00 pm,Home,,,2025,UNLV
1,08/29/25,Sam Houston,9:30 pm,Away,,,2025,UNLV
2,09/06/25,UCLA,8:00 pm,Home,,,2025,UNLV
3,09/13/25,Idaho State,12:00 pm,Home,,,2025,UNLV
4,09/20/25,Miami OH,12:00 pm,Away,,,2025,UNLV
5,10/04/25,Wyoming,7:00 pm,Away,,,2025,UNLV
6,10/11/25,Air Force,3:30 pm,Home,,,2025,UNLV
7,10/18/25,Boise St,12:00 pm,Away,,,2025,UNLV
8,11/01/25,New Mexico,3:00 pm,Home,,,2025,UNLV
9,11/08/25,Colorado St,12:00 pm,Away,,,2025,UNLV
10,11/15/25,Utah St,7:00 pm,Home,,,2025,UNLV
11,11/21/25,Hawai'i,10:30 pm,Home,,,2025,UNLV
12,11/29/25,Nevada,9:00 pm,Away,,,2025,UNLV
0,08/30/25,Missouri St,7:30 pm,Home,,,2025,USC
1,09/06/25,Georgia So,7:30 pm,Home,,,2025,USC
2,09/13/25,Purdue,3:30 pm,Away,,,2025,USC
3,09/20/25,Michigan St,12:00 pm,Home,,,2025,USC
4,09/27/25,Illinois,12:00 pm,Away,,,2025,USC
5,10/11/25,Michigan,12:00 pm,Home,,,2025,USC
6,10/18/25,Notre Dame,7:30 pm,Away,,,2025,USC
7,11/01/25,Nebraska,12:00 pm,Away,,,2025,USC
8,11/07/25,Northwestern,9:00 pm,Home,,,2025,USC
9,11/15/25,Iowa,12:00 pm,Home,,,2025,USC
10,11/22/25,Oregon,12:00 pm,Away,,,2025,USC
11,11/29/25,UCLA,12:00 pm,Home,,,2025,USC
0,08/30/25,UCLA,11:00 pm,Away,,,2025,Utah
1,09/06/25,Cal Poly,6:00 pm,Home,,,2025,Utah
2,09/13/25,Wyoming,8:00 pm,Away,,,2025,Utah
3,09/20/25,Texas Tech,12:00 pm,Home,,,2025,Utah
4,09/27/25,West Virginia,12:00 pm,Away,,,2025,Utah
5,10/11/25,Arizona St,12:00 pm,Home,,,2025,Utah
6,10/18/25,BYU,12:00 pm,Away,,,2025,Utah
7,10/25/25,Colorado,12:00 pm,Home,,,2025,Utah
8,11/01/25,Cincinnati,12:00 pm,Home,,,2025,Utah
9,11/15/25,Baylor,12:00 pm,Away,,,2025,Utah
10,11/22/25,Kansas St,12:00 pm,Home,,,2025,Utah
11,11/28/25,Kansas,12:00 pm,Away,,,2025,Utah
0,08/30/25,UTEP,7:30 pm,Home,,,2025,Utah State
1,09/06/25,Texas A&M,12:45 pm,Away,,,2025,Utah State
2,09/13/25,Air Force,9:45 pm,Home,,,2025,Utah State
3,09/20/25,McNeese St,12:00 pm,Home,,,2025,Utah State
4,09/27/25,Vanderbilt,12:45 pm,Away,,,2025,Utah State
5,10/11/25,Hawai'i,12:00 pm,Away,,,2025,Utah State
6,10/17/25,San Jose St,9:00 pm,Home,,,2025,Utah State
7,10/25/25,New Mexico,12:00 pm,Away,,,2025,Utah State
8,11/08/25,Nevada,7:30 pm,Home,,,2025,Utah State
9,11/15/25,UNLV,7:00 pm,Away,,,2025,Utah State
10,11/22/25,Fresno St,10:30 pm,Away,,,2025,Utah State
11,11/28/25,Boise St,4:00 pm,Home,,,2025,Utah State
0,08/30/25,Utah St,7:30 pm,Away,,,2025,UTEP
1,09/06/25,TN Martin,9:00 pm,Home,,,2025,UTEP
2,09/13/25,Texas,4:15 pm,Away,,,2025,UTEP
3,09/20/25,UL Monroe,12:00 pm,Home,,,2025,UTEP
4,09/27/25,Louisiana Tech,12:00 pm,Home,,,2025,UTEP
5,10/08/25,Liberty,8:00 pm,Home,,,2025,UTEP
6,10/15/25,Sam Houston,7:00 pm,Away,,,2025,UTEP
7,10/28/25,Kennesaw St,8:00 pm,Away,,,2025,UTEP
8,11/08/25,Jacksonville St,3:00 pm,Home,,,2025,UTEP
9,11/15/25,Missouri St,12:00 pm,Away,,,2025,UTEP
10,11/22/25,New Mexico St,3:00 pm,Home,,,2025,UTEP
11,11/29/25,Delaware,1:00 pm,Away,,,2025,UTEP
0,08/30/25,Texas A&M,7:00 pm,Away,,,2025,UTSA
1,09/06/25,Texas St,3:30 pm,Home,,,2025,UTSA
2,09/13/25,Incar Word,3:30 pm,Home,,,2025,UTSA
3,09/20/25,Colorado St,12:00 pm,Away,,,2025,UTSA
4,10/04/25,Temple,12:00 pm,Away,,,2025,UTSA
5,10/11/25,Rice,12:00 pm,Home,,,2025,UTSA
6,10/18/25,N Texas,12:00 pm,Away,,,2025,UTSA
7,10/30/25,Tulane,7:30 pm,Home,,,2025,UTSA
8,11/06/25,S Florida,12:00 pm,Away,,,2025,UTSA
9,11/15/25,Charlotte,12:00 pm,Away,,,2025,UTSA
10,11/22/25,E Carolina,12:00 pm,Home,,,2025,UTSA
11,11/28/25,Army,12:00 pm,Home,,,2025,UTSA
0,08/30/25,Charl South,7:00 pm,Home,,,2025,Vanderbilt
1,09/06/25,Virginia Tech,7:30 pm,Away,,,2025,Vanderbilt
2,09/13/25,South Carolina,12:00 pm,Away,,,2025,Vanderbilt
3,09/20/25,Georgia St,7:30 pm,Home,,,2025,Vanderbilt
4,09/27/25,Utah St,12:45 pm,Home,,,2025,Vanderbilt
5,10/04/25,Alabama,12:00 pm,Away,,,2025,Vanderbilt
6,10/18/25,LSU,12:00 pm,Home,,,2025,Vanderbilt
7,10/25/25,Missouri,12:00 pm,Home,,,2025,Vanderbilt
8,11/01/25,Texas,12:00 pm,Away,,,2025,Vanderbilt
9,11/08/25,Auburn,12:00 pm,Home,,,2025,Vanderbilt
10,11/22/25,Kentucky,12:00 pm,Home,,,2025,Vanderbilt
11,11/29/25,Tennessee,12:00 pm,Away,,,2025,Vanderbilt
0,08/30/25,Coastal Car,6:00 pm,Home,,,2025,Virginia
1,09/06/25,NC State,12:00 pm,Away,,,2025,Virginia
2,09/13/25,Wm & Mary,12:00 pm,Home,,,2025,Virginia
3,09/20/25,Stanford,12:00 pm,Home,,,2025,Virginia
4,09/26/25,Florida St,7:00 pm,Home,,,2025,Virginia
5,10/04/25,Louisville,12:00 pm,Away,,,2025,Virginia
6,10/18/25,Washington St,6:30 pm,Home,,,2025,Virginia
7,10/25/25,North Carolina,12:00 pm,Away,,,2025,Virginia
8,11/01/25,California,12:00 pm,Away,,,2025,Virginia
9,11/08/25,Wake Forest,12:00 pm,Home,,,2025,Virginia
10,11/15/25,Duke,12:00 pm,Away,,,2025,Virginia
11,11/29/25,Virginia Tech,12:00 pm,Home,,,2025,Virginia
0,08/31/25,South Carolina,3:00 pm,Neutral,,,2025,Virginia Tech
1,09/06/25,Vanderbilt,7:30 pm,Home,,,2025,Virginia Tech
2,09/13/25,Old Dominion,7:00 pm,Home,,,2025,Virginia Tech
3,09/20/25,Wofford,12:00 pm,Home,,,2025,Virginia Tech
4,09/27/25,NC State,12:00 pm,Away,,,2025,Virginia Tech
5,10/04/25,Wake Forest,12:00 pm,Home,,,2025,Virginia Tech
6,10/11/25,Georgia Tech,12:00 pm,Away,,,2025,Virginia Tech
7,10/24/25,California,7:30 pm,Home,,,2025,Virginia Tech
8,11/01/25,Louisville,12:00 pm,Home,,,2025,Virginia Tech
9,11/15/25,Florida St,12:00 pm,Away,,,2025,Virginia Tech
10,11/22/25,Miami,12:00 pm,Home,,,2025,Virginia Tech
11,11/29/25,Virginia,12:00 pm,Away,,,2025,Virginia Tech
0,08/23/25,Sam Houston,7:00 pm,Home,,,2025,Western Kentucky
1,08/30/25,N Alabama,7:00 pm,Home,,,2025,Western Kentucky
2,09/06/25,Toledo,7:00 pm,Away,,,2025,Western Kentucky
3,09/20/25,Nevada,7:00 pm,Home,,,2025,Western Kentucky
4,09/27/25,Missouri St,12:00 pm,Away,,,2025,Western Kentucky
5,10/03/25,Delaware,7:00 pm,Away,,,2025,Western Kentucky
6,10/14/25,Florida Intl,8:00 pm,Home,,,2025,Western Kentucky
7,10/21/25,Louisiana Tech,7:30 pm,Away,,,2025,Western Kentucky
8,11/01/25,New Mexico St,3:30 pm,Home,,,2025,Western Kentucky
9,11/15/25,Middle Tenn,12:00 pm,Home,,,2025,Western Kentucky
10,11/22/25,LSU,12:00 pm,Away,,,2025,Western Kentucky
11,11/29/25,Jacksonville St,2:00 pm,Away,,,2025,Western Kentucky
0,08/29/25,Michigan St,7:00 pm,Away,,,2025,Western Michigan
1,09/06/25,N Texas,3:30 pm,Home,,,2025,Western Michigan
2,09/13/25,Illinois,7:00 pm,Away,,,2025,Western Michigan
3,09/20/25,Toledo,12:00 pm,Home,,,2025,Western Michigan
4,09/27/25,Rhode Island,6:30 pm,Home,,,2025,Western Michigan
5,10/04/25,UMass,12:00 pm,Away,,,2025,Western Michigan
6,10/11/25,Ball St,12:00 pm,Home,,,2025,Western Michigan
7,10/25/25,Miami OH,12:00 pm,Away,,,2025,Western Michigan
8,11/01/25,C Michigan,12:00 pm,Home,,,2025,Western Michigan
9,11/11/25,Ohio,7:30 pm,Home,,,2025,Western Michigan
10,11/18/25,N Illinois,12:00 pm,Away,,,2025,Western Michigan
11,11/25/25,E Michigan,12:00 pm,Away,,,2025,Western Michigan
0,08/29/25,Kennesaw St,7:00 pm,Home,,,2025,Wake Forest
1,09/06/25,W Carolina,2:00 pm,Home,,,2025,Wake Forest
2,09/11/25,NC State,7:30 pm,Home,,,2025,Wake Forest
3,09/27/25,Georgia Tech,12:00 pm,Home,,,2025,Wake Forest
4,10/04/25,Virginia Tech,12:00 pm,Away,,,2025,Wake Forest
5,10/11/25,Oregon St,3:30 pm,Away,,,2025,Wake Forest
6,10/25/25,SMU,12:00 pm,Home,,,2025,Wake Forest
7,11/01/25,Florida St,12:00 pm,Away,,,2025,Wake Forest
8,11/08/25,Virginia,12:00 pm,Away,,,2025,Wake Forest
9,11/15/25,North Carolina,12:00 pm,Home,,,2025,Wake Forest
10,11/22/25,Delaware,12:00 pm,Home,,,2025,Wake Forest
11,11/29/25,Duke,12:00 pm,Away,,,2025,Wake Forest
0,08/30/25,Colorado St,11:00 pm,Home,,,2025,Washington
1,09/06/25,UC Davis,11:00 pm,Home,,,2025,Washington
2,09/20/25,Washington St,7:30 pm,Away,,,2025,Washington
3,09/27/25,Ohio St,12:00 pm,Home,,,2025,Washington
4,10/04/25,Maryland,12:00 pm,Away,,,2025,Washington
5,10/10/25,Rutgers,9:00 pm,Home,,,2025,Washington
6,10/18/25,Michigan,12:00 pm,Away,,,2025,Washington
7,10/25/25,Illinois,12:00 pm,Home,,,2025,Washington
8,11/08/25,Wisconsin,12:00 pm,Away,,,2025,Washington
9,11/15/25,Purdue,12:00 pm,Home,,,2025,Washington
10,11/22/25,UCLA,12:00 pm,Away,,,2025,Washington
11,11/29/25,Oregon,12:00 pm,Home,,,2025,Washington
0,08/30/25,Idaho,10:00 pm,Home,,,2025,Washington State
1,09/06/25,San Diego St,10:15 pm,Home,,,2025,Washington State
2,09/13/25,N Texas,3:30 pm,Away,,,2025,Washington State
3,09/20/25,Washington,7:30 pm,Home,,,2025,Washington State
4,09/27/25,Colorado St,7:30 pm,Away,,,2025,Washington State
5,10/11/25,Mississippi,12:45 pm,Away,,,2025,Washington State
6,10/18/25,Virginia,6:30 pm,Away,,,2025,Washington State
7,10/25/25,Toledo,3:30 pm,Home,,,2025,Washington State
8,11/01/25,Oregon St,7:30 pm,Away,,,2025,Washington State
9,11/15/25,Louisiana Tech,10:00 pm,Home,,,2025,Washington State
10,11/22/25,J Madison,12:00 pm,Away,,,2025,Washington State
11,11/29/25,Oregon St,6:30 pm,Home,,,2025,Washington State
0,08/30/25,Robert Morris,2:00 pm,Home,,,2025,West Virginia
1,09/06/25,Ohio,4:00 pm,Away,,,2025,West Virginia
2,09/13/25,Pittsburgh,3:30 pm,Home,,,2025,West Virginia
3,09/20/25,Kansas,12:00 pm,Away,,,2025,West Virginia
4,09/27/25,Utah,12:00 pm,Home,,,2025,West Virginia
5,10/03/25,BYU,10:30 pm,Away,,,2025,West Virginia
6,10/18/25,UCF,12:00 pm,Away,,,2025,West Virginia
7,10/25/25,TCU,12:00 pm,Home,,,2025,West Virginia
8,11/01/25,Houston,12:00 pm,Away,,,2025,West Virginia
9,11/08/25,Colorado,12:00 pm,Home,,,2025,West Virginia
10,11/15/25,Arizona St,12:00 pm,Away,,,2025,West Virginia
11,11/29/25,Texas Tech,12:00 pm,Home,,,2025,West Virginia
0,08/28/25,Miami OH,9:00 pm,Home,,,2025,Wisconsin
1,09/06/25,Middle Tenn,4:00 pm,Home,,,2025,Wisconsin
2,09/13/25,Alabama,12:00 pm,Away,,,2025,Wisconsin
3,09/20/25,Maryland,12:00 pm,Home,,,2025,Wisconsin
4,10/04/25,Michigan,12:00 pm,Away,,,2025,Wisconsin
5,10/11/25,Iowa,12:00 pm,Home,,,2025,Wisconsin
6,10/18/25,Ohio St,12:00 pm,Home,,,2025,Wisconsin
7,10/25/25,Oregon,12:00 pm,Away,,,2025,Wisconsin
8,11/08/25,Washington,12:00 pm,Home,,,2025,Wisconsin
9,11/15/25,Indiana,12:00 pm,Away,,,2025,Wisconsin
10,11/22/25,Illinois,12:00 pm,Home,,,2025,Wisconsin
11,11/29/25,Minnesota,12:00 pm,Away,,,2025,Wisconsin
0,08/28/25,Akron,7:00 pm,Away,,,2025,Wyoming
1,09/06/25,N Iowa,12:00 pm,Home,,,2025,Wyoming
2,09/13/25,Utah,8:00 pm,Home,,,2025,Wyoming
3,09/20/25,Colorado,12:00 pm,Away,,,2025,Wyoming
4,10/04/25,UNLV,7:00 pm,Home,,,2025,Wyoming
5,10/11/25,San Jose St,7:00 pm,Home,,,2025,Wyoming
6,10/18/25,Air Force,3:30 pm,Away,,,2025,Wyoming
7,10/25/25,Colorado St,7:30 pm,Home,,,2025,Wyoming
8,11/01/25,San Diego St,7:00 pm,Away,,,2025,Wyoming
9,11/15/25,Fresno St,12:00 pm,Away,,,2025,Wyoming
10,11/22/25,Nevada,12:00 pm,Home,,,2025,Wyoming
11,11/29/25,Hawai'i,12:00 pm,Away,,,2025,Wyoming
